time,value
1662736932390,0
1662736932399,0
1662736932409,0
1662736932419,0
1662736932429,0
1662736932439,0
1662736932449,0
1662736932459,0
1662736932469,0
1662736932479,0
1662736932489,0
1662736932499,0
1662736932509,0
1662736932519,0
1662736932529,0
1662736932539,0
1662736932549,0
1662736932559,0
1662736932569,0
1662736932579,0
1662736932589,0
1662736932599,0
1662736932609,0
1662736932619,0
1662736932629,0
1662736932639,0
1662736932649,0
1662736932659,0
1662736932668,0
1662736932678,0
1662736932688,0
1662736932698,0
1662736932708,0
1662736932718,0
1662736932728,0
1662736932738,0
1662736932748,0
1662736932758,0
1662736932768,0
1662736932778,0
1662736932788,0
1662736932798,0
1662736932808,0
1662736932818,0
1662736932828,0
1662736932838,0
1662736932848,0
1662736932858,0
1662736932868,0
1662736932878,0
1662736932888,0
1662736932898,0
1662736932908,0
1662736932918,0
1662736932928,0
1662736932938,0
1662736932947,0
1662736932957,0
1662736932967,0
1662736932977,0
1662736932987,0
1662736932997,0
1662736933007,0
1662736933017,0
1662736933027,0
1662736933037,0
1662736933047,0
1662736933057,0
1662736933067,0
1662736933077,0
1662736933087,0
1662736933097,0
1662736933107,0
1662736933117,0
1662736933127,0
1662736933137,0
1662736933147,0
1662736933157,0
1662736933167,0
1662736933177,0
1662736933187,0
1662736933197,0
1662736933206,0
1662736933216,0
1662736933226,0
1662736933236,0
1662736933246,0
1662736933256,0
1662736933266,0
1662736933276,0
1662736933286,0
1662736933296,0
1662736933306,0
1662736933316,0
1662736933326,0
1662736933336,0
1662736933346,0
1662736933356,0
1662736933366,0
1662736933377,0
1662736933386,0
1662736933396,0
1662736933406,0
1662736933416,0
1662736933426,0
1662736933436,0
1662736933446,0
1662736933456,0
1662736933466,0
1662736933475,0
1662736933485,0
1662736933495,0
1662736933505,0
1662736933515,0
1662736933525,0
1662736933535,0
1662736933545,0
1662736933555,0
1662736933565,0
1662736933575,0
1662736933585,0
1662736933595,0
1662736933605,0
1662736933615,0
1662736933625,0
1662736933635,0
1662736933645,0
1662736933655,0
1662736933665,0
1662736933675,0
1662736933685,0
1662736933695,0
1662736933705,0
1662736933715,0
1662736933725,0
1662736933735,0
1662736933744,0
1662736933754,0
1662736933764,0
1662736933774,0
1662736933784,0
1662736933794,0
1662736933804,0
1662736933814,0
1662736933824,0
1662736933834,0
1662736933844,0
1662736933854,0
1662736933864,0
1662736933874,0
1662736933884,0
1662736933894,0
1662736933904,0
1662736933914,0
1662736933924,0
1662736933934,0
1662736933944,0
1662736933954,0
1662736933964,0
1662736933974,0
1662736933984,0
1662736933994,0
1662736934003,0
1662736934013,0
1662736934023,0
1662736934033,0
1662736934043,0
1662736934053,0
1662736934063,0
1662736934073,0
1662736934083,0
