time,X,Y,Z
1662736918499,-233,24,-71
1662736918500,-233,25,-70
1662736918501,-234,24,-70
1662736918501,-233,25,-70
1662736918501,-234,24,-71
1662736918502,-235,24,-72
1662736918503,-234,25,-71
1662736918503,-235,24,-71
1662736918504,-234,24,-71
1662736918504,-234,24,-70
1662736918504,-234,24,-71
1662736918505,-234,23,-71
1662736918505,-235,23,-70
1662736918506,-235,24,-71
1662736918506,-235,24,-71
1662736918507,-234,24,-70
1662736918507,-234,24,-70
1662736918508,-234,22,-70
1662736918508,-236,22,-71
1662736918509,-233,22,-71
1662736918509,-235,21,-71
1662736918510,-234,22,-71
1662736918510,-235,22,-71
1662736918511,-236,23,-72
1662736918511,-235,22,-71
1662736918512,-235,22,-71
1662736918512,-236,22,-72
1662736918513,-235,22,-72
1662736918513,-234,22,-72
1662736918514,-234,22,-71
1662736918514,-235,21,-71
1662736918515,-233,21,-71
1662736918515,-233,22,-73
1662736918516,-235,23,-73
1662736918516,-234,22,-71
1662736918517,-235,23,-72
1662736918517,-233,23,-72
1662736918518,-233,23,-72
1662736918518,-234,23,-70
1662736918519,-235,23,-72
1662736918519,-235,23,-72
1662736918520,-234,24,-71
1662736918520,-235,24,-72
1662736918521,-234,23,-70
1662736918521,-235,24,-71
1662736918522,-234,24,-70
1662736918522,-235,24,-69
1662736918523,-235,25,-69
1662736918523,-236,24,-70
1662736918524,-235,25,-69
1662736918524,-235,25,-70
1662736918525,-234,26,-69
1662736918525,-235,25,-70
1662736918526,-234,25,-69
1662736918526,-234,25,-70
1662736918527,-235,25,-70
1662736918527,-235,25,-71
1662736918528,-236,26,-71
1662736918528,-234,26,-71
1662736918529,-235,24,-70
1662736918529,-236,26,-70
1662736918530,-235,25,-70
1662736918530,-236,25,-69
1662736918531,-235,26,-71
1662736918531,-235,25,-69
1662736918532,-236,25,-70
1662736918532,-237,26,-71
1662736918533,-236,26,-70
1662736918533,-236,25,-71
1662736918534,-235,25,-70
1662736918534,-235,25,-70
1662736918535,-235,26,-70
1662736918535,-236,27,-69
1662736918536,-237,26,-70
1662736918536,-237,26,-69
1662736918537,-237,26,-68
1662736918537,-237,27,-70
1662736918538,-236,25,-71
1662736918538,-237,27,-69
1662736918539,-236,26,-69
1662736918539,-237,26,-68
1662736918540,-236,26,-69
1662736918540,-236,27,-69
1662736918541,-237,25,-69
1662736918541,-236,26,-70
1662736918542,-235,26,-69
1662736918542,-235,25,-69
1662736918543,-236,26,-69
1662736918543,-235,25,-69
1662736918544,-235,26,-69
1662736918544,-236,25,-69
1662736918545,-234,25,-69
1662736918545,-235,26,-69
1662736918546,-237,25,-70
1662736918546,-235,26,-70
1662736918547,-236,24,-70
1662736918547,-235,25,-69
1662736918548,-235,24,-70
1662736918548,-234,24,-70
1662736918549,-233,24,-70
1662736918549,-233,24,-70
1662736918550,-234,23,-70
1662736918550,-234,23,-70
1662736918551,-234,23,-69
1662736918551,-234,24,-70
1662736918552,-236,23,-70
1662736918552,-235,22,-71
1662736918553,-235,22,-70
1662736918553,-235,22,-71
1662736918554,-236,21,-72
1662736918554,-235,21,-71
1662736918555,-236,19,-73
1662736918555,-236,18,-71
1662736918556,-236,19,-72
1662736918556,-236,19,-72
1662736918557,-236,19,-72
1662736918557,-237,19,-72
1662736918558,-236,17,-72
1662736918558,-237,18,-72
1662736918559,-236,19,-71
1662736918559,-237,18,-72
1662736918560,-236,17,-71
1662736918560,-237,19,-72
1662736918561,-237,18,-71
1662736918561,-237,19,-70
1662736918562,-239,18,-71
1662736918562,-237,18,-70
1662736918563,-238,19,-71
1662736918563,-237,20,-71
1662736918564,-237,20,-71
1662736918564,-237,19,-70
1662736918565,-237,20,-70
1662736918565,-237,20,-69
1662736918566,-237,20,-71
1662736918567,-237,20,-70
1662736918567,-236,20,-70
1662736918568,-236,20,-69
1662736918568,-236,22,-69
1662736918568,-237,22,-69
1662736918569,-236,22,-69
1662736918569,-235,21,-69
1662736918570,-236,21,-68
1662736918570,-236,22,-69
1662736918571,-235,22,-68
1662736918571,-235,21,-69
1662736918572,-235,22,-68
1662736918572,-236,23,-69
1662736918573,-236,23,-70
1662736918573,-234,23,-69
1662736918574,-236,21,-69
1662736918574,-235,23,-67
1662736918575,-234,23,-69
1662736918575,-235,24,-69
1662736918576,-234,23,-69
1662736918576,-235,23,-69
1662736918577,-235,22,-68
1662736918577,-234,23,-69
1662736918578,-234,23,-68
1662736918578,-235,23,-69
1662736918579,-235,24,-70
1662736918579,-236,24,-68
1662736918580,-236,24,-68
1662736918580,-235,25,-68
1662736918581,-235,26,-68
1662736918581,-236,24,-69
1662736918582,-236,25,-68
1662736918582,-235,26,-67
1662736918583,-235,25,-68
1662736918583,-235,25,-68
1662736918584,-235,26,-69
1662736918584,-236,26,-68
1662736918585,-236,27,-68
1662736918585,-237,26,-69
1662736918586,-235,26,-69
1662736918586,-235,25,-69
1662736918587,-234,25,-69
1662736918587,-235,27,-69
1662736918588,-236,27,-68
1662736918589,-236,28,-69
1662736918589,-236,26,-69
1662736918589,-234,26,-69
1662736918590,-234,26,-69
1662736918590,-235,26,-69
1662736918591,-235,26,-70
1662736918591,-236,26,-70
1662736918592,-233,25,-69
1662736918592,-235,26,-69
1662736918593,-235,26,-69
1662736918593,-236,26,-69
1662736918594,-235,26,-70
1662736918594,-236,27,-70
1662736918595,-234,26,-69
1662736918595,-234,27,-69
1662736918596,-235,26,-70
1662736918596,-235,26,-70
1662736918597,-235,25,-71
1662736918597,-234,26,-70
1662736918598,-234,27,-70
1662736918598,-234,27,-70
1662736918599,-234,25,-70
1662736918599,-235,27,-71
1662736918600,-235,26,-71
1662736918600,-236,27,-71
1662736918601,-234,28,-71
1662736918601,-235,26,-70
1662736918602,-235,26,-69
1662736918602,-235,26,-70
1662736918603,-235,27,-70
1662736918603,-235,26,-71
1662736918604,-235,27,-70
1662736918604,-236,27,-70
1662736918605,-235,28,-70
1662736918605,-235,28,-70
1662736918606,-237,28,-72
1662736918606,-237,28,-71
1662736918607,-236,26,-70
1662736918607,-236,26,-71
1662736918608,-236,26,-70
1662736918608,-236,26,-70
1662736918609,-236,26,-71
1662736918609,-236,27,-69
1662736918610,-237,25,-70
1662736918610,-236,26,-71
1662736918611,-237,27,-72
1662736918611,-236,25,-71
1662736918612,-237,25,-71
1662736918612,-237,23,-72
1662736918613,-236,24,-70
1662736918613,-235,24,-71
1662736918614,-235,24,-70
1662736918614,-238,23,-69
1662736918615,-237,24,-70
1662736918615,-237,24,-70
1662736918616,-236,23,-70
1662736918616,-237,24,-70
1662736918617,-238,23,-70
1662736918617,-237,23,-69
1662736918618,-236,23,-69
1662736918618,-237,22,-70
1662736918619,-235,23,-69
1662736918619,-236,23,-69
1662736918620,-236,23,-70
1662736918620,-237,23,-70
1662736918621,-237,22,-69
1662736918621,-237,22,-69
1662736918622,-237,21,-69
1662736918622,-239,22,-70
1662736918623,-237,21,-70
1662736918623,-237,21,-70
1662736918624,-236,22,-69
1662736918624,-236,22,-70
1662736918625,-236,22,-69
1662736918625,-236,21,-68
1662736918626,-236,22,-70
1662736918626,-235,21,-71
1662736918626,-235,21,-70
1662736918627,-236,21,-70
1662736918627,-235,21,-69
1662736918628,-235,22,-70
1662736918629,-234,21,-69
1662736918629,-236,20,-70
1662736918629,-234,21,-69
1662736918630,-236,22,-70
1662736918630,-235,20,-70
1662736918631,-235,21,-70
1662736918631,-235,21,-70
1662736918632,-234,22,-71
1662736918633,-236,22,-70
1662736918633,-236,22,-71
1662736918633,-235,22,-70
1662736918634,-236,23,-71
1662736918634,-236,22,-69
